Model:	LI-7810
SN:	TG10-01100
Software Version:	2.0.25
Timestamp:	2021-05-06 11:53:37
Timezone:	Europe/Helsinki
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1620291277	8677959	254	256	2021-05-06	11:54:37	nan	nan	nan	60.9973	21.558	60.8797	43.5177	0	0	21.3052	-16000	0	15.435	150
DATA	1620291278	8677959	258	256	2021-05-06	11:54:38	nan	nan	nan	61.0793	21.5847	60.9634	43.5182	0	0	21.3289	-16000	0	15.4365	255
DATA	1620291279	8677959	262	256	2021-05-06	11:54:39	nan	nan	nan	61.161	21.611	61.0455	43.5184	0	0	21.3523	-16000	0	15.4342	110
DATA	1620291280	8677959	266	256	2021-05-06	11:54:40	nan	nan	nan	61.2426	21.6374	61.1283	43.5184	0	0	21.3757	-16000	0	15.4349	228
DATA	1620291281	8677959	270	256	2021-05-06	11:54:41	nan	nan	nan	61.3255	21.6639	61.2084	43.5184	0	0	21.3989	-16000	0	15.4326	232
DATA	1620291282	8677959	274	256	2021-05-06	11:54:42	nan	nan	nan	61.4031	21.6879	61.2855	43.5184	0	0	21.4201	-16000	0	15.4369	228
DATA	1620291283	8389949	278	256	2021-05-06	11:54:43	nan	nan	nan	61.4856	21.7134	61.3704	43.5184	0	0	21.4436	-16000	0	15.4302	224
DATA	1620291284	8389949	282	256	2021-05-06	11:54:44	nan	nan	nan	61.568	21.739	61.4533	43.5184	0	0	21.467	-16000	0	15.4302	 78
DATA	1620291285	8389949	286	256	2021-05-06	11:54:45	nan	nan	nan	61.6501	21.7644	61.537	43.5184	0	0	21.491	-16000	0	15.4334	129
DATA	1620291286	8389949	290	256	2021-05-06	11:54:46	nan	nan	nan	61.7346	21.7895	61.6195	43.5182	0	0	21.5144	-16000	0	15.4369	250
DATA	1620291287	8389949	294	256	2021-05-06	11:54:47	nan	nan	nan	61.8195	21.8145	61.7032	43.5184	0	0	21.5379	-16000	0	15.4322	240
DATA	1620291288	8389949	298	256	2021-05-06	11:54:48	nan	nan	nan	61.9032	21.84	61.7885	43.5184	0	0	21.5608	-16000	0	15.4318	151
DATA	1620291289	8389949	302	256	2021-05-06	11:54:49	nan	nan	nan	61.9873	21.865	61.873	43.5184	0	0	21.5841	-16000	0	15.4291	148
DATA	1620291290	8100986	306	256	2021-05-06	11:54:50	nan	nan	nan	62.0685	21.8886	61.953	43.5184	0	0	21.6064	-16000	0	15.4322	162
DATA	1620291291	8100986	310	256	2021-05-06	11:54:51	nan	nan	nan	62.149	21.912	62.0343	43.5184	0	0	21.6284	-16000	0	15.4283	 92
DATA	1620291292	8100986	314	256	2021-05-06	11:54:52	nan	nan	nan	62.2355	21.9364	62.1188	43.5184	0	0	21.6517	-16000	0	15.4287	216
DATA	1620291293	8100986	318	256	2021-05-06	11:54:53	nan	nan	nan	62.3196	21.9605	62.2049	43.5184	0	0	21.6757	-16000	0	15.4259	226
DATA	1620291294	8100986	322	256	2021-05-06	11:54:54	nan	nan	nan	62.4049	21.9845	62.2915	43.5184	0	0	21.6986	-16000	0	15.4275	231
DATA	1620291295	8100986	326	256	2021-05-06	11:54:55	nan	nan	nan	62.4903	22.0084	62.3764	43.5184	0	0	21.7217	-16000	0	15.4267	215
DATA	1620291296	8100986	330	256	2021-05-06	11:54:56	nan	nan	nan	62.5768	22.0332	62.4621	43.5184	0	0	21.7448	-16000	0	15.4267	217
DATA	1620291297	8100986	334	256	2021-05-06	11:54:57	nan	nan	nan	62.6638	22.0567	62.5478	43.5184	0	0	21.7681	-16000	0	15.4287	242
DATA	1620291298	7811069	338	256	2021-05-06	11:54:58	nan	nan	nan	62.7507	22.0804	62.6356	43.5184	0	0	21.7908	-16000	0	15.4279	237
DATA	1620291299	7811069	342	256	2021-05-06	11:54:59	nan	nan	nan	62.8287	22.1019	62.7169	43.5184	0	0	21.8121	-16000	0	15.4259	228
DATA	1620291300	7811069	346	256	2021-05-06	11:55:00	nan	nan	nan	62.9153	22.1252	62.8026	43.5184	0	0	21.8351	-16000	0	15.4263	187
DATA	1620291301	7811069	350	256	2021-05-06	11:55:01	nan	nan	nan	63.0039	22.1486	62.89	43.5184	0	0	21.8587	-16000	0	15.4244	103
DATA	1620291302	7811069	354	256	2021-05-06	11:55:02	nan	nan	nan	63.092	22.1717	62.9765	43.5184	0	0	21.8817	-16000	0	15.4251	157
DATA	1620291303	7811069	358	256	2021-05-06	11:55:03	nan	nan	nan	63.1798	22.195	63.0671	43.5184	0	0	21.9044	-16000	0	15.4244	159
DATA	1620291304	7811069	362	256	2021-05-06	11:55:04	nan	nan	nan	63.2676	22.2186	63.1545	43.5184	0	0	21.9274	-16000	0	15.4236	209
DATA	1620291305	7515907	366	256	2021-05-06	11:55:05	nan	nan	nan	63.3558	22.2412	63.2431	43.5184	0	0	21.9503	-16000	0	15.4232	195
DATA	1620291306	7515907	370	256	2021-05-06	11:55:06	nan	nan	nan	63.4452	22.2641	63.3313	43.5184	0	0	21.9729	-16000	0	15.4208	203
DATA	1620291307	7515907	374	256	2021-05-06	11:55:07	nan	nan	nan	63.5313	22.286	63.4166	43.5184	0	0	21.9951	-16000	0	15.4185	169
DATA	1620291308	7515907	378	256	2021-05-06	11:55:08	nan	nan	nan	63.6171	22.3075	63.504	43.5184	0	0	22.0172	-16000	0	15.4216	151
